Unnamed: 0,playtime_forever
0,0.9949638843536376
1,6.2404465675354
2,0.0
3,0.0
4,14.515026092529295
5,0.780192494392395
6,3.8857715129852295
7,0.0
8,1.1469517946243286
9,0.0
10,1.1953524351119995
11,0.0
12,3.7923343181610103
13,0.8174365758895874
14,8.650744438171388
15,0.0
16,7.451643466949463
17,0.0
18,1.0387784242630005
19,3.245060443878174
20,0.0
21,5.331924915313722
22,0.0
23,4.352076053619385
24,0.0
25,4.142984390258788
26,0.0
27,4.311939239501953
28,0.9434305429458618
29,2.9758858680725098
30,2.540360450744629
31,2.1216397285461426
32,0.0
33,0.6456385850906372
34,6.411214351654053
35,0.0
36,1.7106058597564695
37,1.8349910974502563
38,0.0
39,0.7676631808280945
40,0.0
41,5.08602237701416
42,1.2598721981048584
43,1.1047914028167725
44,2.0036017894744877
45,0.0
46,0.0
47,0.0
48,0.0
49,3.402886152267456
50,4.526651382446289
51,3.0985529422760014
52,0.0
53,1.1653926372528076
54,1.615633845329285
55,2.3017358779907227
56,2.5456855297088623
57,2.0177960395812993
58,0.0
59,4.5977559089660645
60,5.7760658264160165
61,2.400259017944336
62,0.0
63,16.40421485900879
64,0.0
65,6.7127766609191895
66,0.5705493092536926
67,1.1880005598068235
68,7.421222686767577
69,0.0
70,1.7816460132598877
71,10.09015655517578
72,1.7402957677841189
73,29.02547645568848
74,12.14033317565918
75,37.869720458984375
76,5.3588714599609375
77,3.2538411617279053
78,0.0
79,1.272125244140625
80,0.23364695906639102
81,0.0
82,2.8811490535736084
83,0.5724402666091919
84,0.0
85,7.944081783294678
86,0.147834450006485
87,0.0
88,7.335993766784668
89,9.554398536682127
